"title","category","option","value","priceDelta","url"
"Glossy Business Cards","Business Cards","Shape","Select...","0","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","Business Cards","Corners","Select...","0","https://www.vistaprint.com/business-cards/glossy"
"Uncoated Business Cards","Business Cards","Shape","Standard","0","https://www.vistaprint.com/business-cards/uncoated"
"Uncoated Business Cards","Business Cards","Shape","Square","11","https://www.vistaprint.com/business-cards/uncoated"
"Uncoated Business Cards","Business Cards","Corners","Standard","0","https://www.vistaprint.com/business-cards/uncoated"
"Uncoated Business Cards","Business Cards","Corners","Rounded","7","https://www.vistaprint.com/business-cards/uncoated"
"Circle Business Cards","Business Cards","Paper Stock","Glossy","0","https://www.vistaprint.com/business-cards/circle"
"Circle Business Cards","Business Cards","Paper Stock","Uncoated","0","https://www.vistaprint.com/business-cards/circle"
